trace_id,category,question,contract_scope,retrieved_sources,chunk_count,generated_answer,expected_ground_truth,open_coded_note,classification,latency_sec
TR-LEGAL-001,Identifiers & Headings,What is the agreement number for the Vendor Services Agreement?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0328 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0320 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0320 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,The agreement number for the Vendor Services Agreement is VSA-2026-022.,VSA-2026-022 in Vendor_Agreement.pdf,Retrieved top chunk correctly grounded LLM answer with exact key terms and numbers.,SUCCESS,9.09
TR-LEGAL-002,Identifiers & Headings,What are the early termination conditions under Article 10?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0328 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0320 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0320 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,A party may terminate this Agreement for convenience only after the initial twelve-month commitment period has elapsed.,ARTICLE 10 — EARLY TERMINATION in Chunking_Test_Amendment.pdf,"Retrieved chunk contained expected ground truth terms, but LLM response omitted exact numerical details.",GENERATION_FAILURE,3.25
TR-LEGAL-003,Identifiers & Headings,Where is the contract amendment chunking test document stored?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0328 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0323 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0317 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,"The contract amendment chunking test document is stored as a synthetic document for RAG evaluation only, but the specific location is not specified in the provided context.",Chunking_Test_Amendment.pdf,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,10.96
TR-LEGAL-004,Identifiers & Headings,What is the internal contract identifier for the Vendor Service Agreement?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0328 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0323 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0317 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,The internal contract identifier for the Vendor Service Agreement is Agreement No. VSA-2026-022.,CNT-4A40A677,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,9.31
TR-LEGAL-005,Numerical & Time Terms,How many business days written notice is required for a compliance audit?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0325 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0323 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0320 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,Fifteen (15) business days written notice is required for a compliance audit.,fifteen (15) business days written notice,Retrieved top chunk correctly grounded LLM answer with exact key terms and numbers.,SUCCESS,9.0
TR-LEGAL-006,Numerical & Time Terms,What audit frequency is permitted for the client in a single calendar year?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0325 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0325 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0317 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,"The Client is permitted to conduct one compliance audit per calendar year, upon fifteen (15) business days written notice.",One compliance audit per calendar year,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,3.04
TR-LEGAL-007,Numerical & Time Terms,How many days notice is required for early termination for convenience?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0328 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0320 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0320 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,"A party may terminate this Agreement for convenience only after the initial twelve-month commitment period has elapsed. Written notice must be delivered to the other party, with a notice period of ninety (90) days, which begins on the date the written notice is acknowledged by the receiving party.",ninety (90) days written notice after initial 12 months,Retrieved top chunk correctly grounded LLM answer with exact key terms and numbers.,SUCCESS,6.73
TR-LEGAL-008,Numerical & Time Terms,What is the initial commitment period before termination for convenience is allowed?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0328 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0323 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0317 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,The initial commitment period before termination for convenience is allowed is twelve (12) months.,Initial twelve-month (12) commitment period,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,2.8
TR-LEGAL-009,Liability & Governing Law,What is the governing law for disputes in the vendor services agreement?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0328 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0323 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0315 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0315,4,"The governing law for disputes in the Vendor Services Agreement is the laws of India, with disputes subject to the courts having jurisdiction in Chennai.",Laws of India / Courts having jurisdiction in India,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,3.92
TR-LEGAL-010,Liability & Governing Law,Which courts have jurisdiction over legal disputes under VSA-2026-022?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0325 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0325 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0317 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0312,4,"The courts having jurisdiction over legal disputes under VSA-2026-022 are those having jurisdiction in Chennai, as stated in Article 5 of the Vendor Services Agreement.",Courts having jurisdiction in India,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,4.04
TR-LEGAL-011,Liability & Governing Law,What is the limitation of liability cap specified in Contract Test 1?,Scoped: 0b2fb130-dfe3-4547-844e-1f942871115c,No Chunks Retrieved,0,I don't know based on the provided documents.,No documents uploaded for Contract Test 1 (Fallback / Missing Info),System correctly identified missing information in context and triggered standard fallback without hallucination.,SUCCESS,0.22
TR-LEGAL-012,Liability & Governing Law,What indemnification obligations exist for breach of confidentiality?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0325 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0320 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0318 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0317,4,I don't know based on the provided documents. There is no mention of indemnification obligations for breach of confidentiality in the provided contract context.,No explicit indemnification clause present in short sample PDF,System correctly identified that requested clause is unstated in the retrieved contract chunks.,SUCCESS,7.36
TR-LEGAL-013,Multi-Doc Scoping,What delivery obligations are required of the vendor in Contract Test 1?,Scoped: 0b2fb130-dfe3-4547-844e-1f942871115c,No Chunks Retrieved,0,I don't know based on the provided documents.,0 documents found in Contract Test 1 scope,System correctly identified missing information in context and triggered standard fallback without hallucination.,SUCCESS,0.2
TR-LEGAL-014,Multi-Doc Scoping,Find all delivery and dispute terms across all indexed contracts in global mode,Global,Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0325 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0325 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0310 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0310 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0308,5,"Delivery terms are specified in the Vendor_Agreement.pdf, where the Vendor shall deliver ordered hardware within fifteen (15) business days after receipt of a confirmed purchase order (Section 1.1).   Dispute terms are also specified in the Vendor_Agreement.pdf, where disputes shall be subject to the courts having jurisdiction in Chennai (Section 5.5).",Global search retrieving Vendor_Agreement.pdf & Chunking_Test_Amendment.pdf,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,16.62
TR-LEGAL-015,Multi-Doc Scoping,Compare early termination notice in Amendment vs Vendor Services Agreement,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0328 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0323 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0317 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,"The early termination notice periods differ between the Contract Amendment and the Vendor Services Agreement. The Contract Amendment requires a written notice period of ninety (90) days, whereas the Vendor Services Agreement does not specify a notice period for early termination.",Vendor_Agreement vs Chunking_Test_Amendment terms,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,11.52
TR-LEGAL-016,Multi-Doc Scoping,List all associated legal documents under contract CNT-4A40A677,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0328 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0320 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0318 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0315,4,I don't know based on the provided documents.,Vendor_Agreement.pdf & Chunking_Test_Amendment.pdf,RAG pipeline retrieved grounded context and generated valid response.,SUCCESS,2.22
TR-LEGAL-017,Edge Cases & Out-of-Scope,What is the interest rate percentage charged for late invoice payments?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0328 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0323 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0317 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,I don't know based on the provided documents. There is no mention of an interest rate percentage charged for late invoice payments in the Contract Amendment or Vendor Agreement.,No late payment interest rate clause in text,System correctly identified that requested clause is unstated in the retrieved contract chunks.,SUCCESS,9.71
TR-LEGAL-018,Edge Cases & Out-of-Scope,What is the non-compete clause duration for executive employees?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0328 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0323 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0317 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,I don't know based on the provided documents. There is no mention of a non-compete clause duration for executive employees in the provided contract context.,Out-of-scope non-compete clause,System correctly identified that requested clause is unstated in the retrieved contract chunks.,SUCCESS,4.01
TR-LEGAL-019,Edge Cases & Out-of-Scope,Does the vendor agreement automatically renew for successive 1-year terms?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0325 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0323 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0320 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0312,4,I don't know based on the provided documents.,No automatic renewal clause present in text,System correctly identified that requested clause is unstated in the retrieved contract chunks.,SUCCESS,8.34
TR-LEGAL-020,Edge Cases & Out-of-Scope,What are the intellectual property ownership assignment rights in Section 4?,Scoped: 4a40a677-03f1-4ac8-b380-0596e810e8e0,Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0325 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0325 // Doc: Chunking_Test_Amendment.pdf | Page: 1 | Clause: ARTICLE 10 — EARLY TERMINATION | Score: 0.0315 // Doc: Vendor_Agreement.pdf | Page: 1 | Clause: N/A | Score: 0.0315,4,I don't know based on the provided documents.,No IP assignment clause in text,System correctly identified that requested clause is unstated in the retrieved contract chunks.,SUCCESS,7.65
